A.B.	artium baccalaureus
abbr.	abbreviation; abbreviated
Acad.	academy
A.D.	in the year of the lord
alt.	altitude
A.M.	ante meridiem
AM	amplitude modulation
Assn.	association
at. no.	atomic number
at. wt.	atomic weight
Aug.	august
Ave.	avenue
AWOL	absent without leave
b.	born; born in
B.A.	bachelor of arts
B.C.	before christ
b.p.	boiling point
B.S.	bachelor of science
C	Celsius
cal	calorie; calories
Capt.	captain
cent.	century; centuries
cm	centimeter; centimeters
co.	county
Col.	Colonel
Comdr.	commander
Corp.	corporation
Cpl.	corporal
d.	died; died in
D.C.	district of columbia
Dec.	december
dept.	department
dist.	district
div.	division
Dr.	doctor
ed.	edited; edition; editor(s)
est.	established; estimated
et al.	et alii
F	Fahrenheit
Feb.	February
fl.	floruit
fl oz	fluid ounce; fluid ounces
FM	frequency modulation
ft	foot; feet
gal.	gallons
Gen.	General; Genesis
GMT	Greenwich mean time
GNP	gross national product
GOP	Grand Old Party
Gov.	governor
grad.	graduated; graduated at
H	hour; hours
Hon.	the Honorable
hr	hour; hours
i.e.	id est
in.	inches
inc.	incorporated
Inst.	Institute; Institution
IRA	Irish Republican Army
IRS	Internal Revenue Service
Jan.	January
Jr.	Junior
K	Kelvin
kg	kilogram; kilograms
km	kilometer; kilometers
£	libra; librae; pound; pounds
lat.	latitude
Lib.	Library
long.	longitude
Lt.	Lieutenant
Ltd.	Limited
m	meters; meter
M	minutes; minute
M.D.	Medicinae Doctor
mg	milligrams; miligram
mi	miles; mile
min	minutes; minute
mm	millimeters; milimeter
mph	miles per hour
Mr.	Mister
Mrs.	Mistress
Msgr	Monsignor
mt.	Mount; Mountain
mts.	mountains
Mus.	Museum
N	north; Newton; Newtons
NAACP	National Association for the Advancement of Colored People
NASA	National Aeronautics and Space Administration
NATO	North Atlantic Treaty Organization
NE	northeast
no.	number
Nov.	November
OAS	Organization of American States
Oct.	October
oz	ounces; ounce
pl.	plural
pop.	population
pseud.	pseudonym
pt.	parts; part
pub.	published; publisher
qt	quarts; quart
Rev.	Revelation; the Reverend
rev.	revised
R.N.	registered nurse
rpm	revolutions per minute
RR	railroad
S	south
S	seconds; second
SEATO	Southeast Asia Treaty Organization
SEC	Securities and Exchange Commission
sec	seconds; secant; second
Sept.	September
Ser.	Series
Sgt.	Sergeant
sq	square
Sr.	Senior
SSR	Soviet Socialist Republic
St.	Saint; Street
UNICEF	United Nations Children's Fund
uninc.	unincorporated
Univ.	University
U.S.	United States
USA	United States Army
USAF	United States Air Force
USCG	United States Coast Guard
USMC	United States Marine Corps
USN	United States Navy
USSR	Union of Soviet Socialist Republics
VFW	Veterans of Foreign Wars
VISTA	Volunteers in Service to America
vol.	volumes; volume
vs.	versus
W	west; watts; watt
WHO	World Health Organization
wt.	weight
yd	yards; yard
YMCA	Young Men's Christian Association
YWCA	Young Women's Christian Association
